,Estimate ,Std.Error,t value,Pr(>|t|)
(Intercept),15.87658214,2.047901843,7.752609,3.55E-10
Demand,0.000683689,0.000205835,3.321539,1.66E-03
Num.of.Charger.open.in.day.time,0.044553836,0.014149181,33.148863,2.74E-03
Sign,0.636223179,0.23189052,2.743636,8.37E-03
Price,-3.050136158,1.184549362,-2.574934,1.30E-02
Position,0.277538537,0.122917833,2.257919,2.83E-02
number.of.competitors..charger,0.007305658,0.003779446,1.932997,5.88E-02
shopping.mall,0.275783759,0.142807544,1.931157,5.90E-02
Other.mobile.operator,0.395640588,0.209297852,1.890323,6.44E-02
convinence.stores,-0.069391712,0.037031331,-1.873865,6.67E-02
